Fipscode,disasterNumber,state,declarationTitle,ihProgramDeclared,paProgramDeclared,hmProgramDeclared,fipsStateCode,fipsCountyCode,id,year,month,day,totalNumberIaApproved,totalAmountIhpApproved,totalAmountHaApproved,totalAmountOnaApproved,totalObligatedAmountPa,totalObligatedAmountCatAb,totalObligatedAmountCatC2g,totalObligatedAmountHmgp,Geographic Area Name,Total population,HOUSE UNIT,Population for whom poverty status is determined
72013,4571,PR,SEVERE STORM AND FLOODING,1,0,0,72,013,8fd053e4-2998-4f39-997f-596460db0440,2020,11,05,83,346304.76,186566.04,159738.72,0,0,0,0,"Arecibo Municipio, Puerto Rico",83682,41200,83100
38003,4553,ND,FLOODING,0,1,1,38,003,b0ae3372-781d-4adf-819f-88ac382593ca,2020,07,09,0,0,0,0,10899964.34,1655096.77,8097739.01,1482076.19,"Barnes County, North Dakota",10592,5982,10075
38017,4553,ND,FLOODING,0,1,1,38,017,f9d48228-0637-433b-be22-6d2c12879f17,2020,07,09,0,0,0,0,10899964.34,1655096.77,8097739.01,1482076.19,"Cass County, North Dakota",179937,83604,175380
38021,4553,ND,FLOODING,0,1,1,38,021,a3828902-9614-49cc-b1cf-6706dc30e566,2020,07,09,0,0,0,0,10899964.34,1655096.77,8097739.01,1482076.19,"Dickey County, North Dakota",4857,2641,4640
38031,4553,ND,FLOODING,0,1,1,38,031,8d0f9935-f2e2-429d-90c5-551372df12c4,2020,07,09,0,0,0,0,10899964.34,1655096.77,8097739.01,1482076.19,"Foster County, North Dakota",3231,1820,3138
38035,4553,ND,FLOODING,0,1,1,38,035,0dac716e-c866-4afc-ae7d-c5c864c67838,2020,07,09,0,0,0,0,10899964.34,1655096.77,8097739.01,1482076.19,"Grand Forks County, North Dakota",70243,33267,65916
38043,4553,ND,FLOODING,0,1,1,38,043,538e733a-e174-4b05-967b-8c62f4cee961,2020,07,09,0,0,0,0,10899964.34,1655096.77,8097739.01,1482076.19,"Kidder County, North Dakota",2468,1743,2431
38045,4553,ND,FLOODING,0,1,1,38,045,31c7cb35-6730-4b8a-85ed-0ed70282d533,2020,07,09,0,0,0,0,10899964.34,1655096.77,8097739.01,1482076.19,"LaMoure County, North Dakota",4225,2280,4130
38047,4553,ND,FLOODING,0,1,1,38,047,587c0d44-f549-404b-a857-30a2399bf02f,2020,07,09,0,0,0,0,10899964.34,1655096.77,8097739.01,1482076.19,"Logan County, North Dakota",1743,1141,1670
38051,4553,ND,FLOODING,0,1,1,38,051,01bd1979-0aba-446b-8bbf-7e0b722fb66f,2020,07,09,0,0,0,0,10899964.34,1655096.77,8097739.01,1482076.19,"McIntosh County, North Dakota",2535,1833,2419
38063,4553,ND,FLOODING,0,1,1,38,063,97b4c0cc-2fe6-4fa3-8834-a286c5c5eb50,2020,07,09,0,0,0,0,10899964.34,1655096.77,8097739.01,1482076.19,"Nelson County, North Dakota",2864,1946,2786
38067,4553,ND,FLOODING,0,1,1,38,067,c70f3a16-f41a-443f-8843-7441f107ea43,2020,07,09,0,0,0,0,10899964.34,1655096.77,8097739.01,1482076.19,"Pembina County, North Dakota",6850,3859,6620
38073,4553,ND,FLOODING,0,1,1,38,073,e91c21e6-95dc-44fa-8a14-8df22429905f,2020,07,09,0,0,0,0,10899964.34,1655096.77,8097739.01,1482076.19,"Ransom County, North Dakota",5258,2690,5097
38077,4553,ND,FLOODING,0,1,1,38,077,ef5cdfcc-950c-4007-939a-4bc5d171c2dd,2020,07,09,0,0,0,0,10899964.34,1655096.77,8097739.01,1482076.19,"Richland County, North Dakota",16245,7761,15126
38081,4553,ND,FLOODING,0,1,1,38,081,383f7ee7-4bf4-4e55-aa93-1b0397849ed7,2020,07,09,0,0,0,0,10899964.34,1655096.77,8097739.01,1482076.19,"Sargent County, North Dakota",3899,2154,3846
38083,4553,ND,FLOODING,0,1,1,38,083,e2df77f8-6cc9-46a6-8148-5a050e6369c6,2020,07,09,0,0,0,0,10899964.34,1655096.77,8097739.01,1482076.19,"Sheridan County, North Dakota",1289,887,1266
38091,4553,ND,FLOODING,0,1,1,38,091,659d1365-131a-41ad-bf89-41f9f3ddd28c,2020,07,09,0,0,0,0,10899964.34,1655096.77,8097739.01,1482076.19,"Steele County, North Dakota",1817,1180,1817
38093,4553,ND,FLOODING,0,1,1,38,093,50d731d1-9644-4049-bba5-760f8f294e45,2020,07,09,0,0,0,0,10899964.34,1655096.77,8097739.01,1482076.19,"Stutsman County, North Dakota",20879,10253,19351
38097,4553,ND,FLOODING,0,1,1,38,097,a88be178-7360-4d44-b0b0-c722c92e551b,2020,07,09,0,0,0,0,10899964.34,1655096.77,8097739.01,1482076.19,"Traill County, North Dakota",7999,3850,7606
38099,4553,ND,FLOODING,0,1,1,38,099,67580877-e337-430e-9b95-b7767cd4d912,2020,07,09,0,0,0,0,10899964.34,1655096.77,8097739.01,1482076.19,"Walsh County, North Dakota",10642,5571,10435
38103,4553,ND,FLOODING,0,1,1,38,103,7f249912-df85-484c-b4d0-0519f28c4694,2020,07,09,0,0,0,0,10899964.34,1655096.77,8097739.01,1482076.19,"Wells County, North Dakota",3889,2517,3810
53013,4539,WA,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",0,1,1,53,013,d104e36d-b9e1-4e15-a457-0e1cd3019e1f,2020,04,23,0,0,0,0,37304431.1,2740005.33,33748562.56,4741267.5,"Columbia County, Washington",4024,2174,3981
53023,4539,WA,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",0,1,1,53,023,4d667310-4f1b-4a1f-955d-36991477817d,2020,04,23,0,0,0,0,37304431.1,2740005.33,33748562.56,4741267.5,"Garfield County, Washington",2258,1189,2234
53027,4539,WA,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",0,1,1,53,027,78263898-8882-4179-b4d9-eb46b5d66214,2020,04,23,0,0,0,0,37304431.1,2740005.33,33748562.56,4741267.5,"Grays Harbor County, Washington",73769,36572,70152
53029,4539,WA,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",0,1,1,53,029,e59432be-ce69-4690-b724-862c2dea32bb,2020,04,23,0,0,0,0,37304431.1,2740005.33,33748562.56,4741267.5,"Island County, Washington",84187,42270,81477
53033,4539,WA,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",0,1,1,53,033,772a6126-cff6-4a7d-9019-beca35fe0b24,2020,04,23,0,0,0,0,37304431.1,2740005.33,33748562.56,4741267.5,"King County, Washington",2225064,952344,2194633
53041,4539,WA,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",0,1,1,53,041,f3077e65-6545-4434-88de-374acdce002c,2020,04,23,0,0,0,0,37304431.1,2740005.33,33748562.56,4741267.5,"Lewis County, Washington",79430,35426,77963
53045,4539,WA,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",0,1,1,53,045,dfac65ac-9c98-4241-9d21-e0e53160a16b,2020,04,23,0,0,0,0,37304431.1,2740005.33,33748562.56,4741267.5,"Mason County, Washington",65326,33784,64219
53049,4539,WA,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",0,1,1,53,049,c1adcd9a-957c-40b1-bc7c-998583016f0a,2020,04,23,0,0,0,0,37304431.1,2740005.33,33748562.56,4741267.5,"Pacific County, Washington",22121,16312,21714
53055,4539,WA,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",0,1,1,53,055,7c4c2329-c9f8-466a-a60d-6f03bd25b11d,2020,04,23,0,0,0,0,37304431.1,2740005.33,33748562.56,4741267.5,"San Juan County, Washington",16953,14252,16703
53057,4539,WA,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",0,1,1,53,057,2e72df3d-aa3b-4a6a-868c-ca2a1ee12055,2020,04,23,0,0,0,0,37304431.1,2740005.33,33748562.56,4741267.5,"Skagit County, Washington",127442,54317,125611
53061,4539,WA,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",0,1,1,53,061,45f650c8-dc61-4b36-b1f2-e695d0930c99,2020,04,23,0,0,0,0,37304431.1,2740005.33,33748562.56,4741267.5,"Snohomish County, Washington",811572,314090,800382
