Geography,HOUSE UNIT
0500000US01001,24170
0500000US01003,121763
0500000US01005,11667
0500000US01007,9013
0500000US01009,24527
0500000US01011,4522
0500000US01013,9842
0500000US01015,53112
0500000US01017,16433
0500000US01019,14734
0500000US01021,19407
0500000US01023,7132
0500000US01025,11788
0500000US01027,7009
0500000US01029,6792
0500000US01031,23934
0500000US01033,27496
0500000US01035,6469
0500000US01037,6064
0500000US01039,18627
0500000US01041,6544
0500000US01043,38859
0500000US01045,22790
0500000US01047,19037
0500000US01049,30647
0500000US01051,36425
0500000US01053,16672
0500000US01055,47329
0500000US01057,7836
0500000US01059,13930
0500000US01061,12495
0500000US01063,4303
0500000US01065,7422
0500000US01067,9057
0500000US01069,48940
0500000US01071,24666
0500000US01073,307607
0500000US01075,7104
0500000US01077,44528
0500000US01079,15220
0500000US01081,73557
0500000US01083,41768
0500000US01085,4833
0500000US01087,9684
0500000US01089,167859
0500000US01091,9850
0500000US01093,14131
0500000US01095,41129
0500000US01097,184218
0500000US01099,10275
0500000US01101,105139
0500000US01103,53086
0500000US01105,4022
0500000US01107,8738
0500000US01109,15958
0500000US01111,12356
0500000US01113,27219
0500000US01115,37651
0500000US01117,88480
0500000US01119,6340
0500000US01121,37905
0500000US01123,22603
0500000US01125,99540
0500000US01127,30093
0500000US01129,7793
0500000US01131,5304
0500000US01133,13083
0500000US02013,1113
0500000US02016,1456
0500000US02020,118055
0500000US02050,5992
0500000US02060,922
0500000US02063,3626
0500000US02066,2676
0500000US02068,1415
0500000US02070,2406
0500000US02090,42870
0500000US02100,1450
0500000US02105,1699
0500000US02110,13987
0500000US02122,32406
0500000US02130,6564
0500000US02150,5750
0500000US02158,2335
0500000US02164,1398
0500000US02170,49810
0500000US02180,4092
0500000US02185,2622
0500000US02188,2728
0500000US02195,1749
0500000US02198,3267
0500000US02220,4143
0500000US02230,618
0500000US02240,3561
0500000US02275,1294
0500000US02282,401
0500000US02290,4029
0500000US04001,29192
0500000US04003,58881
0500000US04005,68446
0500000US04007,32452
0500000US04009,13622
0500000US04011,4394
0500000US04012,13797
0500000US04013,1794248
0500000US04015,116893
0500000US04017,56270
0500000US04019,467191
0500000US04021,171384
0500000US04023,18677
0500000US04025,119753
0500000US04027,91690
0500000US05001,8776
0500000US05003,9466
0500000US05005,22689
0500000US05007,110752
0500000US05009,17311
0500000US05011,5172
0500000US05013,2498
0500000US05015,13829
0500000US05017,5140
0500000US05019,10031
0500000US05021,7536
0500000US05023,15602
0500000US05025,3632
0500000US05027,11075
0500000US05029,9658
0500000US05031,46285
0500000US05033,25444
0500000US05035,21356
0500000US05037,7637
0500000US05039,3566
0500000US05041,5859
0500000US05043,8282
0500000US05045,51410
0500000US05047,7746
0500000US05049,6260
0500000US05051,52115
0500000US05053,7846
0500000US05055,19068
0500000US05057,9715
0500000US05059,14227
0500000US05061,6169
0500000US05063,16634
0500000US05065,6795
0500000US05067,7149
0500000US05069,30921
0500000US05071,11466
0500000US05073,3977
0500000US05075,7540
0500000US05077,3774
0500000US05079,4432
0500000US05081,6089
0500000US05083,9779
0500000US05085,29854
0500000US05087,7613
0500000US05089,9426
0500000US05091,19746
0500000US05093,19250
0500000US05095,3894
0500000US05097,5480
0500000US05099,4325
0500000US05101,4163
0500000US05103,11983
0500000US05105,4941
0500000US05107,8523
0500000US05109,5328
0500000US05111,10419
0500000US05113,9669
0500000US05115,26811
0500000US05117,4133
0500000US05119,189271
0500000US05121,8572
0500000US05123,9741
0500000US05125,51352
0500000US05127,4898
0500000US05129,4723
0500000US05131,56672
0500000US05133,6771
0500000US05135,9544
0500000US05137,6792
0500000US05139,18779
0500000US05141,9763
0500000US05143,98774
0500000US05145,33324
0500000US05147,3319
0500000US05149,9319
0500000US06001,617045
0500000US06003,1626
0500000US06005,18708
0500000US06007,95047
0500000US06009,27476
0500000US06011,8085
0500000US06013,421239
0500000US06015,11093
0500000US06017,92999
0500000US06019,336509
0500000US06021,10890
0500000US06023,62137
0500000US06025,56636
0500000US06027,9457
0500000US06029,299810
0500000US06031,46145
0500000US06033,34309
0500000US06035,12273
0500000US06037,3578801
0500000US06039,49512
0500000US06041,111570
0500000US06043,9832
0500000US06045,41276
0500000US06047,86767
0500000US06049,4809
0500000US06051,13616
0500000US06053,143094
0500000US06055,55446
0500000US06057,53442
0500000US06059,1121753
0500000US06061,170324
0500000US06063,15422
0500000US06065,844425
0500000US06067,583858
0500000US06069,19961
0500000US06071,728674
0500000US06073,1221613
0500000US06075,404720
0500000US06077,249018
0500000US06079,123033
0500000US06081,282570
0500000US06083,157809
0500000US06085,683510
0500000US06087,106110
0500000US06089,79490
0500000US06091,2099
0500000US06093,23041
0500000US06095,161341
0500000US06097,205136
0500000US06099,182606
0500000US06101,34458
0500000US06103,27347
0500000US06105,8233
0500000US06107,149859
0500000US06109,31413
0500000US06111,292220
0500000US06113,79695
0500000US06115,29152
0500000US08001,183772
0500000US08003,7009
0500000US08005,259291
0500000US08007,9445
0500000US08009,1997
0500000US08011,2151
0500000US08013,139302
0500000US08014,30567
0500000US08015,10804
0500000US08017,945
0500000US08019,5677
0500000US08021,4037
0500000US08023,2401
0500000US08025,1521
0500000US08027,4125
0500000US08029,14742
0500000US08031,335131
0500000US08033,1679
0500000US08035,132519
0500000US08037,32611
0500000US08039,9629
0500000US08041,283726
0500000US08043,20176
0500000US08045,24018
0500000US08047,3510
0500000US08049,16591
0500000US08051,12006
0500000US08053,1449
0500000US08055,4731
0500000US08057,1221
0500000US08059,246426
0500000US08061,714
0500000US08063,3427
0500000US08065,4122
0500000US08067,27858
0500000US08069,156030
0500000US08071,8114
0500000US08073,2221
0500000US08075,8704
0500000US08077,66608
0500000US08079,1272
0500000US08081,6091
0500000US08083,12212
0500000US08085,18852
0500000US08087,11474
0500000US08089,8746
0500000US08091,3158
0500000US08093,14049
0500000US08095,2033
0500000US08097,13261
0500000US08099,5508
0500000US08101,71821
0500000US08103,3277
0500000US08105,6547
0500000US08107,16492
0500000US08109,3695
0500000US08111,719
0500000US08113,6547
0500000US08115,1207
0500000US08117,31182
0500000US08119,13271
0500000US08121,2287
0500000US08123,115854
0500000US08125,4311
0500000US09001,377249
0500000US09003,384270
0500000US09005,87660
0500000US09007,76287
0500000US09009,368720
0500000US09011,122664
0500000US09013,60638
0500000US09015,49551
0500000US10001,72211
0500000US10003,232162
0500000US10005,140731
0500000US11001,344306
0500000US12001,121832
0500000US12003,9772
0500000US12005,102883
0500000US12007,10753
0500000US12009,286497
0500000US12011,854965
0500000US12013,5704
0500000US12015,108667
0500000US12017,81099
0500000US12019,84159
0500000US12021,225093
0500000US12023,29631
0500000US12027,15453
0500000US12029,9287
0500000US12031,429495
0500000US12033,144698
0500000US12035,54554
0500000US12037,8375
0500000US12039,18709
0500000US12041,7479
0500000US12043,6542
0500000US12045,8884
0500000US12047,5627
0500000US12049,9775
0500000US12051,14943
0500000US12053,88431
0500000US12055,57206
0500000US12057,595841
0500000US12059,8639
0500000US12061,82555
0500000US12063,20047
0500000US12065,6685
0500000US12067,3406
0500000US12069,173636
0500000US12071,410239
0500000US12073,132398
0500000US12075,20743
0500000US12077,3100
0500000US12079,8345
0500000US12081,202950
0500000US12083,175486
0500000US12085,81069
0500000US12086,1064991
0500000US12087,53699
0500000US12089,40787
0500000US12091,100401
0500000US12093,18465
0500000US12095,554517
0500000US12097,150567
0500000US12099,702877
0500000US12101,253685
0500000US12103,514666
0500000US12105,311599
0500000US12107,36133
0500000US12109,115442
0500000US12111,146077
0500000US12113,74878
0500000US12115,249418
0500000US12117,192725
0500000US12119,73998
0500000US12121,18891
0500000US12123,11078
0500000US12125,4678
0500000US12127,270402
0500000US12129,13537
0500000US12131,54894
0500000US12133,10840
0500000US13001,8492
0500000US13003,3475
0500000US13005,4803
0500000US13007,1531
0500000US13009,20022
0500000US13011,7237
0500000US13013,29530
0500000US13015,41946
0500000US13017,8102
0500000US13019,8082
0500000US13021,71725
0500000US13023,5201
0500000US13025,8133
0500000US13027,7343
0500000US13029,16137
0500000US13031,32570
0500000US13033,10980
0500000US13035,9436
0500000US13037,2066
