"disasterNumber","state","declarationTitle","ihProgramDeclared","paProgramDeclared","hmProgramDeclared","fipsStateCode","fipsCountyCode","id","year","month","day","totalNumberIaApproved","totalAmountIhpApproved","totalAmountHaApproved","totalAmountOnaApproved","totalObligatedAmountPa","totalObligatedAmountCatAb","totalObligatedAmountCatC2g","totalObligatedAmountHmgp"
4628,"VA","FLOODING, LANDSLIDES, AND MUDSLIDES",0,1,1,51,27,"f69aae5d-7300-4f75-9524-51ce97cf00b7","2021","10","26",0,0,0,0,2584793.19,876282.16,653088.94,25304.39
4624,"NH","SEVERE STORM AND FLOODING",0,1,1,33,5,"d7c8d75b-bec5-41dd-9c8a-a47f4b394bf5","2021","10","04",0,0,0,0,3417309.8,192732.48,3034289.11,12632.7
4624,"NH","SEVERE STORM AND FLOODING",0,1,1,33,19,"787a1b78-fd99-4bce-9146-fc0cca465866","2021","10","04",0,0,0,0,3417309.8,192732.48,3034289.11,12632.7
4621,"VT","SEVERE STORM AND FLOODING",0,1,1,50,3,"4a2dde3b-9597-4773-b92f-b08b0f015c5e","2021","09","29",0,0,0,0,7017656.86,219635.84,6250265.78,276210
4621,"VT","SEVERE STORM AND FLOODING",0,1,1,50,25,"0d08b9a0-1c07-4e83-b99b-820e5734667f","2021","09","29",0,0,0,0,7017656.86,219635.84,6250265.78,276210
4620,"AZ","SEVERE STORMS AND FLOODING",0,1,1,4,1,"9bba7933-d307-4593-9aef-40e40ef02bb6","2021","09","13",0,0,0,0,5330186.14,117036.4,5021940.71,0
4620,"AZ","SEVERE STORMS AND FLOODING",0,1,1,4,5,"a38cfa29-fd47-4341-932c-09b85a2d9b3c","2021","09","13",0,0,0,0,5330186.14,117036.4,5021940.71,0
4620,"AZ","SEVERE STORMS AND FLOODING",0,1,1,4,17,"530e9296-758d-4655-a194-3ff302b53697","2021","09","13",0,0,0,0,5330186.14,117036.4,5021940.71,0
4609,"TN","SEVERE STORM AND FLOODING",1,1,1,47,43,"8663e7cf-53ce-4c15-b329-697c53624e51","2021","08","23",955,8138893.57,6301770.25,1837123.32,36686874.01,16216302.68,19702654.39,450000
4609,"TN","SEVERE STORM AND FLOODING",1,1,1,47,81,"66168ab3-c9dc-4d68-a87f-5f08d60a3a33","2021","08","23",955,8138893.57,6301770.25,1837123.32,36686874.01,16216302.68,19702654.39,450000
