Geography,Geographic Area Name,Total population
0500000US01001,"Autauga County, Alabama",58239
0500000US01003,"Baldwin County, Alabama",227131
0500000US01005,"Barbour County, Alabama",25259
0500000US01007,"Bibb County, Alabama",22412
0500000US01009,"Blount County, Alabama",58884
0500000US01011,"Bullock County, Alabama",10386
0500000US01013,"Butler County, Alabama",19181
0500000US01015,"Calhoun County, Alabama",116425
0500000US01017,"Chambers County, Alabama",34834
0500000US01019,"Cherokee County, Alabama",24975
0500000US01021,"Chilton County, Alabama",44857
0500000US01023,"Choctaw County, Alabama",12792
0500000US01025,"Clarke County, Alabama",23346
0500000US01027,"Clay County, Alabama",14184
0500000US01029,"Cleburne County, Alabama",15046
0500000US01031,"Coffee County, Alabama",53043
0500000US01033,"Colbert County, Alabama",56789
0500000US01035,"Conecuh County, Alabama",11778
0500000US01037,"Coosa County, Alabama",10442
0500000US01039,"Covington County, Alabama",37490
0500000US01041,"Crenshaw County, Alabama",13300
0500000US01043,"Cullman County, Alabama",87129
0500000US01045,"Dale County, Alabama",49443
0500000US01047,"Dallas County, Alabama",39162
0500000US01049,"DeKalb County, Alabama",71554
0500000US01051,"Elmore County, Alabama",87146
0500000US01053,"Escambia County, Alabama",36879
0500000US01055,"Etowah County, Alabama",103468
0500000US01057,"Fayette County, Alabama",16365
0500000US01059,"Franklin County, Alabama",32034
0500000US01061,"Geneva County, Alabama",26604
0500000US01063,"Greene County, Alabama",7851
0500000US01065,"Hale County, Alabama",14819
0500000US01067,"Henry County, Alabama",17165
0500000US01069,"Houston County, Alabama",106355
0500000US01071,"Jackson County, Alabama",52548
0500000US01073,"Jefferson County, Alabama",672550
0500000US01075,"Lamar County, Alabama",13929
0500000US01077,"Lauderdale County, Alabama",93342
0500000US01079,"Lawrence County, Alabama",33089
0500000US01081,"Lee County, Alabama",172223
0500000US01083,"Limestone County, Alabama",101217
0500000US01085,"Lowndes County, Alabama",10334
0500000US01087,"Macon County, Alabama",19490
0500000US01089,"Madison County, Alabama",382149
0500000US01091,"Marengo County, Alabama",19397
0500000US01093,"Marion County, Alabama",29392
0500000US01095,"Marshall County, Alabama",97179
0500000US01097,"Mobile County, Alabama",414620
0500000US01099,"Monroe County, Alabama",20115
0500000US01101,"Montgomery County, Alabama",229072
0500000US01103,"Morgan County, Alabama",122608
0500000US01105,"Perry County, Alabama",8702
0500000US01107,"Pickens County, Alabama",19240
0500000US01109,"Pike County, Alabama",33176
0500000US01111,"Randolph County, Alabama",21984
0500000US01113,"Russell County, Alabama",58695
0500000US01115,"St. Clair County, Alabama",90412
0500000US01117,"Shelby County, Alabama",220780
0500000US01119,"Sumter County, Alabama",12482
0500000US01121,"Talladega County, Alabama",81850
0500000US01123,"Tallapoosa County, Alabama",41284
0500000US01125,"Tuscaloosa County, Alabama",223945
0500000US01127,"Walker County, Alabama",65194
0500000US01129,"Washington County, Alabama",15574
0500000US01131,"Wilcox County, Alabama",10686
0500000US01133,"Winston County, Alabama",23650
0500000US02013,"Aleutians East Borough, Alaska",3409
0500000US02016,"Aleutians West Census Area, Alaska",5251
0500000US02020,"Anchorage Municipality, Alaska",292545
0500000US02050,"Bethel Census Area, Alaska",18514
0500000US02060,"Bristol Bay Borough, Alaska",849
0500000US02063,"Chugach Census Area, Alaska",7015
0500000US02066,"Copper River Census Area, Alaska",2635
0500000US02068,"Denali Borough, Alaska",2187
0500000US02070,"Dillingham Census Area, Alaska",4899
0500000US02090,"Fairbanks North Star Borough, Alaska",97149
0500000US02100,"Haines Borough, Alaska",2098
0500000US02105,"Hoonah-Angoon Census Area, Alaska",2327
0500000US02110,"Juneau City and Borough, Alaska",32240
0500000US02122,"Kenai Peninsula Borough, Alaska",58711
0500000US02130,"Ketchikan Gateway Borough, Alaska",13939
0500000US02150,"Kodiak Island Borough, Alaska",13218
0500000US02158,"Kusilvak Census Area, Alaska",8354
0500000US02164,"Lake and Peninsula Borough, Alaska",986
0500000US02170,"Matanuska-Susitna Borough, Alaska",106807
0500000US02180,"Nome Census Area, Alaska",10070
0500000US02185,"North Slope Borough, Alaska",10865
0500000US02188,"Northwest Arctic Borough, Alaska",7776
0500000US02195,"Petersburg Borough, Alaska",3368
0500000US02198,"Prince of Wales-Hyder Census Area, Alaska",5886
0500000US02220,"Sitka City and Borough, Alaska",8518
0500000US02230,"Skagway Municipality, Alaska",1329
0500000US02240,"Southeast Fairbanks Census Area, Alaska",6849
0500000US02275,"Wrangell City and Borough, Alaska",2162
0500000US02282,"Yakutat City and Borough, Alaska",562
0500000US02290,"Yukon-Koyukuk Census Area, Alaska",5433
0500000US04001,"Apache County, Arizona",66473
0500000US04003,"Cochise County, Arizona",125092
0500000US04005,"Coconino County, Arizona",144942
0500000US04007,"Gila County, Arizona",53211
0500000US04009,"Graham County, Arizona",38145
0500000US04011,"Greenlee County, Arizona",9542
0500000US04012,"La Paz County, Arizona",16845
0500000US04013,"Maricopa County, Arizona",4367186
0500000US04015,"Mohave County, Arizona",211274
0500000US04017,"Navajo County, Arizona",106609
0500000US04019,"Pima County, Arizona",1035063
0500000US04021,"Pinal County, Arizona",420625
0500000US04023,"Santa Cruz County, Arizona",47463
0500000US04025,"Yavapai County, Arizona",233789
0500000US04027,"Yuma County, Arizona",202944
0500000US05001,"Arkansas County, Arkansas",17273
0500000US05003,"Ashley County, Arkansas",19362
0500000US05005,"Baxter County, Arkansas",41476
0500000US05007,"Benton County, Arkansas",278774
0500000US05009,"Boone County, Arkansas",37445
0500000US05011,"Bradley County, Arkansas",10597
0500000US05013,"Calhoun County, Arkansas",4811
0500000US05015,"Carroll County, Arkansas",28154
0500000US05017,"Chicot County, Arkansas",10405
0500000US05019,"Clark County, Arkansas",21569
0500000US05021,"Clay County, Arkansas",14661
0500000US05023,"Cleburne County, Arkansas",24848
0500000US05025,"Cleveland County, Arkansas",7632
0500000US05027,"Columbia County, Arkansas",22947
0500000US05029,"Conway County, Arkansas",20687
0500000US05031,"Craighead County, Arkansas",109875
0500000US05033,"Crawford County, Arkansas",60483
0500000US05035,"Crittenden County, Arkansas",48338
0500000US05037,"Cross County, Arkansas",16935
0500000US05039,"Dallas County, Arkansas",6645
0500000US05041,"Desha County, Arkansas",11530
0500000US05043,"Drew County, Arkansas",17511
0500000US05045,"Faulkner County, Arkansas",123191
0500000US05047,"Franklin County, Arkansas",17159
0500000US05049,"Fulton County, Arkansas",12072
0500000US05051,"Garland County, Arkansas",99694
0500000US05053,"Grant County, Arkansas",17912
0500000US05055,"Greene County, Arkansas",45665
0500000US05057,"Hempstead County, Arkansas",20352
0500000US05059,"Hot Spring County, Arkansas",33096
0500000US05061,"Howard County, Arkansas",12894
0500000US05063,"Independence County, Arkansas",37796
0500000US05065,"Izard County, Arkansas",13653
0500000US05067,"Jackson County, Arkansas",16878
0500000US05069,"Jefferson County, Arkansas",68199
0500000US05071,"Johnson County, Arkansas",25853
0500000US05073,"Lafayette County, Arkansas",6373
0500000US05075,"Lawrence County, Arkansas",16292
0500000US05077,"Lee County, Arkansas",8832
0500000US05079,"Lincoln County, Arkansas",13092
0500000US05081,"Little River County, Arkansas",12104
0500000US05083,"Logan County, Arkansas",21299
0500000US05085,"Lonoke County, Arkansas",73824
0500000US05087,"Madison County, Arkansas",16496
0500000US05089,"Marion County, Arkansas",16750
0500000US05091,"Miller County, Arkansas",42875
0500000US05093,"Mississippi County, Arkansas",41061
