Geography,Population for whom poverty status is determined
0500000US01001,57790
0500000US01003,223772
0500000US01005,22250
0500000US01007,21000
0500000US01009,58323
0500000US01011,9908
0500000US01013,18870
0500000US01015,113294
0500000US01017,34350
0500000US01019,24597
0500000US01021,44200
0500000US01023,12603
0500000US01025,22989
0500000US01027,13931
0500000US01029,14888
0500000US01031,52320
0500000US01033,56225
0500000US01035,11736
0500000US01037,10065
0500000US01039,36814
0500000US01041,13060
0500000US01043,86090
0500000US01045,47886
0500000US01047,38572
0500000US01049,70605
0500000US01051,82377
0500000US01053,33973
0500000US01055,102264
0500000US01057,16091
0500000US01059,31660
0500000US01061,26318
0500000US01063,7737
0500000US01065,14567
0500000US01067,16673
0500000US01069,105201
0500000US01071,52009
0500000US01073,657834
0500000US01075,13726
0500000US01077,91443
0500000US01079,32761
0500000US01081,166054
0500000US01083,97894
0500000US01085,10171
0500000US01087,17112
0500000US01089,372128
0500000US01091,19170
0500000US01093,28908
0500000US01095,95947
0500000US01097,408140
0500000US01099,19875
0500000US01101,221128
0500000US01103,120432
0500000US01105,7898
0500000US01107,17568
0500000US01109,31414
0500000US01111,21442
0500000US01113,57811
0500000US01115,88343
0500000US01117,217555
0500000US01119,11650
0500000US01121,78167
0500000US01123,40707
0500000US01125,213541
0500000US01127,63885
0500000US01129,15441
0500000US01131,10447
0500000US01133,23263
0500000US02013,3395
0500000US02016,4973
0500000US02020,286144
0500000US02050,18166
0500000US02060,825
0500000US02063,6912
0500000US02066,2619
0500000US02068,2126
0500000US02070,4855
0500000US02090,93048
0500000US02100,2072
0500000US02105,2326
0500000US02110,31813
0500000US02122,57538
0500000US02130,13778
0500000US02150,12960
0500000US02158,8274
0500000US02164,974
0500000US02170,104517
0500000US02180,9685
0500000US02185,10668
0500000US02188,7706
0500000US02195,3355
0500000US02198,5833
0500000US02220,8335
0500000US02230,1329
0500000US02240,6776
0500000US02275,2141
0500000US02282,562
0500000US02290,5381
0500000US04001,65161
0500000US04003,118514
0500000US04005,131883
0500000US04007,52130
0500000US04009,34754
0500000US04011,9479
0500000US04012,16499
0500000US04013,4308734
0500000US04015,207762
0500000US04017,103723
0500000US04019,1007434
0500000US04021,397347
0500000US04023,47204
0500000US04025,229192
0500000US04027,196465
0500000US05001,16997
0500000US05003,19217
0500000US05005,41023
0500000US05007,275459
0500000US05009,36840
0500000US05011,10503
0500000US05013,4687
0500000US05015,27856
0500000US05017,9786
0500000US05019,19279
0500000US05021,14527
0500000US05023,24543
0500000US05025,7554
0500000US05027,21137
0500000US05029,20565
0500000US05031,106022
0500000US05033,59567
0500000US05035,47618
0500000US05037,16694
0500000US05039,6007
0500000US05041,11447
0500000US05043,16544
0500000US05045,118237
0500000US05047,16890
0500000US05049,11892
0500000US05051,98150
0500000US05053,17669
0500000US05055,44755
0500000US05057,20090
0500000US05059,30929
0500000US05061,12724
0500000US05063,36789
0500000US05065,12645
0500000US05067,14710
0500000US05069,62225
0500000US05071,25160
0500000US05073,6230
0500000US05075,15786
0500000US05077,7320
0500000US05079,8330
0500000US05081,11881
0500000US05083,20991
0500000US05085,73066
0500000US05087,16382
0500000US05089,16586
0500000US05091,41571
0500000US05093,40003
0500000US05095,6812
0500000US05097,8397
0500000US05099,8164
0500000US05101,7288
0500000US05103,22482
0500000US05105,9957
0500000US05107,16807
0500000US05109,10051
0500000US05111,22697
0500000US05113,19211
0500000US05115,59964
0500000US05117,8079
0500000US05119,391464
0500000US05121,18032
0500000US05123,20545
0500000US05125,120872
0500000US05127,9867
0500000US05129,7777
0500000US05131,126057
0500000US05133,15890
0500000US05135,16975
0500000US05137,12271
0500000US05139,38894
0500000US05141,15671
0500000US05143,234846
0500000US05145,73527
0500000US05147,6126
0500000US05149,20129
0500000US06001,1646476
0500000US06003,1344
0500000US06005,36573
0500000US06007,212593
0500000US06009,44927
0500000US06011,21585
0500000US06013,1152417
0500000US06015,24770
0500000US06017,188914
0500000US06019,985123
0500000US06021,28368
0500000US06023,133833
0500000US06025,169729
0500000US06027,18421
0500000US06029,874826
0500000US06031,137175
0500000US06033,66317
0500000US06035,23043
0500000US06037,9861892
0500000US06039,147824
0500000US06041,257160
0500000US06043,16999
0500000US06045,90015
0500000US06047,272659
0500000US06049,8490
0500000US06051,13147
0500000US06053,422014
0500000US06055,135811
0500000US06057,100880
0500000US06059,3145848
0500000US06061,396956
0500000US06063,19293
0500000US06065,2369118
0500000US06067,1550537
0500000US06069,62921
0500000US06071,2117955
0500000US06073,3213232
0500000US06075,852231
0500000US06077,753690
0500000US06079,267267
0500000US06081,756587
0500000US06083,426632
0500000US06085,1901844
0500000US06087,260154
0500000US06089,178903
0500000US06091,3052
0500000US06093,43752
0500000US06095,440522
0500000US06097,485874
0500000US06099,546308
0500000US06101,98017
0500000US06103,64517
0500000US06105,15620
0500000US06107,464801
0500000US06109,51712
0500000US06111,832745
0500000US06113,209165
0500000US06115,78774
0500000US08001,510494
0500000US08003,15402
0500000US08005,645068
0500000US08007,13155
0500000US08009,3432
0500000US08011,4227
0500000US08013,316936
0500000US08014,72321
0500000US08015,18074
0500000US08017,1653
0500000US08019,9286
0500000US08021,7541
0500000US08023,3517
0500000US08025,4909
0500000US08027,4713
0500000US08029,29897
0500000US08031,694983
0500000US08033,2288
0500000US08035,350509
0500000US08037,55431
0500000US08039,25794
0500000US08041,703302
0500000US08043,38339
0500000US08045,60295
0500000US08047,5718
0500000US08049,15578
0500000US08051,16037
0500000US08053,858
0500000US08055,6628
0500000US08057,1370
0500000US08059,571357
0500000US08061,1385
0500000US08063,6989
0500000US08065,7304
0500000US08067,53769
0500000US08069,345329
0500000US08071,13931
0500000US08073,3840
0500000US08075,20905
0500000US08077,151047
0500000US08079,794
0500000US08081,13121
0500000US08083,25735
0500000US08085,41904
0500000US08087,28452
0500000US08089,18229
0500000US08091,4840
0500000US08093,17171
0500000US08095,4426
0500000US08097,17414
0500000US08099,11573
0500000US08101,163654
0500000US08103,6163
0500000US08105,11314
0500000US08107,24653
0500000US08109,6346
0500000US08111,698
0500000US08113,8046
0500000US08115,2424
0500000US08117,30854
0500000US08119,24508
0500000US08121,4560
0500000US08123,315304
0500000US08125,9628
0500000US09001,939754
0500000US09003,878283
0500000US09005,182806
0500000US09007,159560
0500000US09009,838405
0500000US09011,257900
0500000US09013,135408
0500000US09015,111578
0500000US10001,174712
0500000US10003,550455
0500000US10005,230435
0500000US11001,651618
0500000US12001,262920
0500000US12003,24807
0500000US12005,178905
0500000US12007,23960
0500000US12009,595483
0500000US12011,1918092
0500000US12013,11969
0500000US12015,180969
0500000US12017,149153
0500000US12019,214453
0500000US12021,369517
0500000US12023,64181
0500000US12027,32191
0500000US12029,15102
0500000US12031,961709
0500000US12033,301308
0500000US12035,112812
0500000US12037,10647
0500000US12039,40994
0500000US12041,16445
0500000US12043,10763
0500000US12045,12360
0500000US12047,10799
0500000US12049,23725
0500000US12051,38877
0500000US12053,189468
0500000US12055,99815
0500000US12057,1423727
0500000US12059,17852
0500000US12061,156730
0500000US12063,40437
0500000US12065,12814
0500000US12067,6967
0500000US12069,370352
0500000US12071,743628
0500000US12073,277688
